Model,Question,Latency_ms,Input_Tokens,Output_Tokens,Context_Tokens,Relevance,Fluency,Completeness,Avg_Quality
LLaMA-3.2,What is the difference between applying for leave through VTOP and applying for leave manually?,19681,15,107,151,4,4,4,4.0
LLaMA-3.2,What are the restrictions for weekend outings on VTOP?,11319,9,38,184,4,4,5,4.33
LLaMA-3.2,"If VTOP does not allow leave due to technical issues, what can a student do?",13721,15,76,190,4,4,5,4.33
LLaMA-3.2,How does placement work at VIT-AP?,18089,6,157,110,0,0,0,0.0
LLaMA-3.2,How do students register for courses at VIT-AP?,14217,8,83,170,5,4,5,4.67
LLaMA-3.2,What happens if I lose my student ID card?,12388,9,37,137,4,4,4,4.0
LLaMA-3.2,Are there technical clubs at VIT-AP?,12318,6,63,126,4,4,5,4.33
LLaMA-3.2,I had a bad day. Can you cheer me up?,14992,10,98,98,4,3,4,3.67
LLaMA-3.2,Hi,10605,1,17,109,4,4,3,3.67
LLaMA-3.2,Can you tell me something funny about college life?,10500,9,27,94,4,3,4,3.67
,,,,,,,,,
Mistral,What is the difference between applying for leave through VTOP and applying for leave manually?,28707,15,102,151,5,4,5,4.67
Mistral,What are the restrictions for weekend outings on VTOP?,24149,9,62,184,5,4,5,4.67
Mistral,"If VTOP does not allow leave due to technical issues, what can a student do?",24919,15,83,190,5,4,5,4.67
Mistral,How does placement work at VIT-AP?,21403,6,50,110,4,4,5,4.33
Mistral,How do students register for courses at VIT-AP?,31400,8,111,170,5,4,5,4.67
Mistral,What happens if I lose my student ID card?,17106,9,24,137,5,4,5,4.67
Mistral,Are there technical clubs at VIT-AP?,16236,6,25,126,4,3.5,4,3.83
Mistral,I had a bad day. Can you cheer me up?,36105,10,165,98,5,4.5,5,4.83
Mistral,Hi,35576,1,135,109,4,4,5,4.33
Mistral,Can you tell me something funny about college life?,24501,9,70,94,4,4,4,4.0
,,,,,,,,,
LLaMA-3.2,AVERAGE,13783.0,8.8,70.3,136.9,3.7,3.4,3.9,3.67
Mistral,AVERAGE,26010.2,8.8,82.7,136.9,4.6,4.0,4.8,4.47
